//hu_in01,113,373,2	shop	¢Õß„™È∑—Ë«‰ª	470,601:-1,602:-1,645:-1,656:-1,657:-1,501:500,502:1000,504:1500,505:1500,506:500,715:600,716:600,717:600,101423:1000000,101454:1000000,100044:1000000,100340:1000000,20000021:1000000
//hu_in01,93,382,5	shop	√È“π§È“-°√– ÿπ 1	758,1750:-1, 1751:-1, 1752:-1, 1753:-1, 1754:-1, 1755:-1, 1756:-1, 1757:-1, 1758:-1, 1759:-1, 1760:-1, 1761:-1, 1762:-1, 1763:-1, 1764:-1, 1765:-1, 1766:-1, 1767:-1, 1768:-1, 1769:-1, 1770:-1, 1771:-1, 1772:-1, 1773:-1, 1774:-1, 1775:-1, 1776:-1, 7663:-1, 7664:-1, 7665:-1, 13200:-1, 13201:-1, 13202:-1, 13203:-1, 13204:-1, 13205:-1, 13206:-1, 13207:-1, 13208:100, 13210:-1, 13211:-1, 13212:-1, 13213:-1, 13214:-1, 13215:-1, 13216:-1, 13217:-1, 13218:-1, 13219:-1, 13220:-1, 13221:-1, 13222:-1, 13223:-1, 13224:-1, 13225:-1, 13226:-1, 13227:-1, 13228:-1, 13229:-1, 13230:-1, 13231:-1, 13232:-1, 13250:-1, 13251:-1, 13252:-1, 13253:-1, 13254:-1, 13255:-1, 13256:-1, 13257:-1
//hu_in01,93,385,5	shop	√È“π§È“-°√– ÿπ 2	758,13258:-1, 13259:-1, 1220001:-1,1220002:-1,1220003:-1,1220004:-1, 13260:-1, 13261:-1, 13262:-1, 13263:-1, 13264:-1, 13265:-1, 13266:-1, 13267:-1, 13268:-1, 13291:100, 13292:-1, 13293:-1, 13294:-1, 13295:100, 18000:-1, 18001:-1, 18002:-1, 18003:-1, 18004:-1, 18005:500, 18006:500, 18007:500, 18008:500, 18009:500, 25187:-1, 1065:-1, 7940:-1, 7521:-1,7522:-1,7523:-1,7524:-1,6512:-1,6513:-1,6514:-1,6515:-1,7945:100,523:-1,6360:9000,6361:9000,6362:9000,6363:9000
//hu_in01,93,390,5	shop	√È“π§È“-°√– ÿπ 3	758,12004:50000, 12005:50000, 12006:50000, 12007:50000, 12008:50000, 12009:50000, 12010:50000, 12011:50000, 12012:50000, 12013:50000, 12014:50000, 12015:50000, 12144:50000, 12145:50000, 12146:50000, 12147:50000, 12148:50000, 22745:50000, 22746:50000, 22747:50000, 22748:50000, 22749:50000, 12149:50000, 12150:50000, 12151:50000, 12183:50000, 12575:50000, 12576:50000, 12677:50000, 12678:50000, 23123:50000, 23124:50000, 23125:50000, 23126:50000, 23127:50000
hu_in01,115,306,4	shop	√È“π§È“RuneC3-C4	628,12736:15000,1034:1000,7030:1000,7097:2000,7221:2000,1035:2000,1096:2000,7123:2000,7002:10000,1048:2000,518:2000,7096:2000,7099:2000,7210:2000,7938:20000,7939:20000
hu_in01,113,306,4	shop	√È“π§È“GuillotineC3-C4	467,6128:10000,7931:2000,7932:40000,7933:40000,7934:40000,7935:40000,7936:40000,7937:40000,7155:4000,7033:10000,7565:6000,957:4000,709:30000,7033:4000,950:6000
hu_in01,111,306,4	shop	√È“π§È“RangerC3-C4	634,6124:1000000,12848:1000000
hu_in01,109,306,4	shop	√È“π§È“ShadowC3-C4	482,6120:10000,6123:10000,6121:20000,6122:20000
hu_in01,107,306,4	shop	√È“π§È“MaestroC3-C4	625,12333:1000,11513:1000,6144:2000
hu_in01,105,306,4	shop	√È“π§È“SorcererC3-C4	679,1000291:20000,1000292:20000,1000293:20000,1000294:20000,1000295:20000,996:20000,994:20000,995:20000,997:20000,990:20000,991:20000,992:20000,993:20000,1025:300
hu_in01,103,306,4	shop	√È“π§È“WarlockC3-C4	669,100065:5000000,100066:5000000,100067:5000000,100068:5000000,100069:5000000,100070:5000000,100071:5000000,100072:5000000,100073:5000000,100074:5000000
hu_in01,101,306,4	shop	√È“π§È“MechanicC3-C4	681,1000289:-1,1000290:-1,100158:50000,1549:-1,16030:150000,16031:150000,16032:150000,2139:-1,2800:-1,2801:-1,2802:-1,2803:-1,2804:-1,2805:-1,2806:-1,2809:-1,2810:-1,2805:-1,2806:-1,2808:-1,2807:-1,6145:-1,6146:-1,6147:-1,12392:6000,12393:8000,12394:10000
hu_in01,99,306,4	shop	√È“π§È“GeneticistC3-C4	486,7134:200,7135:10000,7136:10000,7137:10000,7138:10000,7139:100000,7142:20000,7140:-1,6210:10000,6211:3000,6212:3000,6216:3000,6213:3000,6214:3000,6215:3000,6217:50000,970:1000,6216:5000,6285:100000,11024:100000,11023:100000,6284:100000,6283:100000,6280:100000,6282:100000,6281:100000,6279:100000,11022:100000,1000275:20000,1000276:1000,1000277:1000,1000278:1000,1000279:1000,1000280:1000,1000281:1000
hu_in01,97,306,4	shop	√È“π§È“·¡«C3-C4	556,11602:-1,567:-1
//hu_in01,106,382,4	shop	√È“πÕ“À“√ —µ«Ï‡≈’È¬ß	626,643:-1,509:5000,619:5000,531:5000,537:5000,511:5000,716:5000,6111:5000,6097:5000,1002:5000,507:5000,532:5000,518:5000,711:5000,508:5000,7821:5000,6098:5000,7822:5000,6108:5000,6100:5000,929:5000,7824:5000,911:5000,6104:5000,504:5000,6110:5000,6113:5000,6112:5000,7823:5000,6099:5000,6106:5000,6105:5000,6109:5000,6107:5000,6095:5000,6115:5000,6096:5000,6114:5000,10033:10000,10013:10000,10017:10000,10010:10000,10028:10000,10037:10000,10024:10000,10022:10000,10016:10000,10020:10000,10023:10000,10025:10000,10036:10000,10038:10000,10029:10000,10034:10000,10018:10000,10002:10000,10004:10000,10027:10000,10008:10000,10006:10000,10032:10000,10019:10000,10031:10000,10007:10000,10014:10000,10001:10000,10011:10000,10030:10000,10026:10000,10012:10000,10005:10000,10003:10000,10009:10000
morocc_in,139,71,4	shop	√È“π¢“¬·√Ë	726,986:-1,987:-1,988:-1,989:-1,612:1000,615:-1,998:1000,999:-1,1000:-1,1001:-1,1002:1000,1003:1000,7054:1000,6186:1000
//oasis,171,107,4	shop	√È“π§È“À‘πÕ“™’æ-C4	871,20000008:10000000,20000009:10000000,20000010:10000000,20000011:10000000,20000012:10000000,20000013:10000000,20000014:10000000,20000015:10000000,20000016:10000000,20000017:10000000,20000018:10000000,20000019:10000000,20000020:10000000,20000001:10000000,20000002:10000000,20000003:10000000,20000004:10000000,20000005:10000000,20000006:10000000,20000007:10000000
